x,ell,reference_mp,forward_double,backward_double,abs_error_forward,rel_error_forward,abs_error_backward,rel_error_backward
0.5,47,0.0320139211145040754486489596408,3.20139211145041153e-02,1.37179064686232488e+00,3.98130962388543664e-17,1.24361824021665473e-15,1.33977672574782081e+00,4.18498165518633698e+01
0.5,48,0.118866275929531051759534477816,1.18866275929531015e-01,1.76925649258687112e-03,3.66941909534325206e-17,3.08701443420221090e-16,1.17097019436944186e-01,9.85115572278585039e-01
0.5,49,0.0862927789609400079347402471702,8.62927789609399393e-02,-1.34204371652043153e+00,6.86646707596499408e-17,7.95717458476226123e-16,1.42833649548137154e+00,1.65522134375565884e+01
0.5,50,-0.0310590992396098228689509435617,-3.10590992396098525e-02,-1.33035715071796234e+00,2.96584929903611136e-17,9.54905123344256355e-16,1.29929805147835253e+00,4.18330886370764858e+01
0.9,0,1.0,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.9,1,0.9,9.00000000000000022e-01,1.86695964775833056e+00,2.22044604925031320e-17,2.46716227694479218e-17,9.66959647758330543e-01,1.07439960862036732e+00
0.9,2,0.715,7.15000000000000080e-01,2.02039552447374637e+00,7.99360577730112680e-17,1.11798682200015774e-16,1.30539552447374629e+00,1.82572800625698783e+00
0.9,3,0.4725,4.72500000000000253e-01,1.78595352153839926e+00,2.53130849614535670e-16,5.35726665850869158e-16,1.31345352153839934e+00,2.77979581277968091e+00
0.9,4,0.2079375,2.07937500000000219e-01,1.29758015306766916e+00,2.19380069665930930e-16,1.05502888928611215e-15,1.08964265306766905e+00,5.24024119299149582e+00
0.9,5,-0.04114125,-4.11412499999998515e-02,6.73317030738904698e-01,1.48450141068678941e-16,3.60830410035375514e-15,7.14458280738904716e-01,1.73659837933680841e+01
0.9,6,-0.2411643125,-2.41164312499999950e-01,2.96563064961351992e-02,5.00985919416052619e-17,2.07736341344473432e-16,2.70820618996135187e-01,1.12297137245849843e+00
0.9,7,-0.36782499375,-3.67824993750000051e-01,-5.27560485489806497e-01,5.10404163378552774e-17,1.38762773615503608e-16,1.59735491739806501e-01,4.34270358061567940e-01
0.9,8,-0.409685903515625,-4.09685903515625061e-01,-9.16207587448166771e-01,6.05780314799630979e-17,1.47864573713976263e-16,5.06521683932541822e-01,1.23636590760371035e+00
0.9,9,-0.3695104859765625,-3.69510485976562497e-01,-1.08861024489316649e+00,2.83208123619260729e-18,7.66441371401904459e-18,7.19099758916603937e-01,1.94608755693665336e+00
0.9,10,-0.263145617855859375,-2.63145617855859271e-01,-1.03693669006396472e+00,1.04327119743174992e-16,3.96461550806904180e-16,7.73791072208105390e-01,2.94054325704924757e+00
0.9,11,-0.1162133925191015625,-1.16213392519101399e-01,-7.92000090297933612e-01,1.63052876587244108e-16,1.40304721386086128e-15,6.75786697778832046e-01,5.81505008269813217e+00
0.9,12,0.0407487142724208984375,4.07487142724210494e-02,-4.15674856538634618e-01,1.50938549495549516e-16,3.70413035578170637e-15,4.56423570811055501e-01,1.12009318320987408e+01
0.9,13,0.17780052164297607421875,1.77800521642976189e-01,1.16397547273787479e-02,1.14999538141091756e-16,6.46789655499499297e-16,1.66160766915597335e-01,9.34534754904986165e-01
0.9,14,0.2707728135987747802734375,2.70772813598774864e-01,4.06187083919825276e-01,8.38343723899015431e-17,3.09611483057252128e-16,1.35414270321050495e-01,5.00102903689970901e-01
0.9,15,0.30519754212842378173828125,3.05197542128423871e-01,6.95901754941609219e-01,8.92390904846251972e-17,2.92397801968779814e-16,3.90704212813185459e-01,1.28016828080739065e+00
0.9,16,0.278338701337587612899780273437,2.78338701337587702e-01,8.32678294004595032e-01,8.88120595536747704e-17,3.19079090068605375e-16,5.54339592667007386e-01,1.99160084459353581e+00
0.9,17,0.199029338568915976194763183594,1.99029338568916025e-01,7.99771603110042584e-01,4.92922357494535376e-17,2.47663164153990251e-16,6.00742264541126558e-01,3.01836035260255553e+00
0.9,18,0.0854259023434368794910430908203,8.54259023434369436e-02,6.13181916660456960e-01,6.40624132400262211e-17,7.49917899403353682e-16,5.27756014317020128e-01,6.17793900724967493e+00
0.9,19,-0.0388339761160020781291580200195,-3.88339761160019781e-02,3.17003629937497255e-01,1.00055247470081672e-16,2.57648733086727395e-15,3.55837606053499345e-01,9.16304848595896182e+00
0.9,20,-0.149308235309848682633163261414,-1.49308235309848547e-01,-2.61814502871263594e-02,1.35554348443690103e-16,9.07882597114512073e-16,1.23126785022722327e-01,8.24648317403297471e-01
0.9,21,-0.225371160029208325075264949799,-2.25371160029208151e-01,-3.47912767349757512e-01,1.74353962277261884e-16,7.73630318336496323e-16,1.22541607320549181e-01,5.43732424790588476e-01
0.9,22,-0.253926861437433629323469321251,-2.53926861437433482e-01,-5.87018801836634574e-01,1.47285196507298842e-16,5.80029996328644483e-16,3.33091940399200925e-01,1.31176331055969531e+00
0.9,23,-0.231559668155368645041072983265,-2.31559668155368520e-01,-7.00877417073436204e-01,1.25159296959470560e-16,5.40505598217963101e-16,4.69317748918067545e-01,2.02676810109768901e+00
0.9,24,-0.164777339579630008783233033472,-1.64777339579629895e-01,-6.72736762498490015e-01,1.14255065322840051e-16,6.93390642271083210e-16,5.07959422918859982e-01,3.08270193107095558e+00
0.9,25,-0.0683699455893134362541930071108,-6.83699455893133634e-02,-5.13865328656837650e-01,7.28442928587843996e-17,1.06544318897586373e-15,4.45495383067524231e-01,6.51595345334247789e+00
0.9,26,0.03774049949774090367359103117,3.77404994977409425e-02,-2.60307673957176855e-01,3.88069704123471655e-17,1.02825799681506859e-15,2.98048173454917742e-01,7.89730335902837055e+00
0.9,27,0.132512607828310757327381865618,1.32512607828310758e-01,3.49563887896459854e-02,4.68593539697164062e-19,3.53621853329076984e-18,9.75562190386647654e-02,7.36203298972600062e-01
0.9,28,0.197870735752227788875658732375,1.97870735752227744e-01,3.12808872926116144e-01,4.45227652086926859e-17,2.25009347842339601e-16,1.14938137173888358e-01,5.80874866295605252e-01
0.9,29,0.22208330085850290910877933564,2.22083300858502808e-01,5.19597113620678175e-01,1.01224714257824842e-16,4.55796153364627183e-16,2.97513812762175256e-01,1.33964963422320427e+00
0.9,30,0.201812397959063286542735982786,2.01812397959063139e-01,6.17304980613354815e-01,1.47601375789073647e-16,7.31379128744181089e-16,4.15492582654291509e-01,2.05880603400080631e+00
0.9,31,0.142483923296693134126865335024,1.42483923296692988e-01,5.90391291195252577e-01,1.46068256004587018e-16,1.02515605006489229e-15,4.47907367898559450e-01,3.14356425297109121e+00
0.9,32,0.0569579410684855881927640321725,5.69579410684855070e-02,4.48085369117400600e-01,8.12181249667252147e-17,1.42593154603445835e-15,3.91127428048915038e-01,6.86695166137813473e+00
0.9,33,-0.0371953331208416176600907526875,-3.71953331208416116e-02,2.21832508336965245e-01,6.07514053786813570e-18,1.63330719962393869e-16,2.59027841457806884e-01,6.96398767598793444e+00
0.9,34,-0.121249724777846292801902513199,-1.21249724777846207e-01,-4.14799096516239099e-02,8.55220947134481248e-17,7.05338464645108951e-16,7.97698151262223876e-02,6.57896875826948113e-01
0.9,35,-0.178999045217018279501573156522,-1.78999045217018177e-01,-2.89091647794933237e-01,1.02778272785398911e-16,5.74183357574844244e-16,1.10092602577914964e-01,6.15045753145994634e-01
0.9,36,-0.199841628392856883668998242772,-1.99841628392856852e-01,-4.72809984896927771e-01,3.21318799970841033e-17,1.60786720241880402e-16,2.72968356504070864e-01,1.36592339994076939e+00
0.9,37,-0.180692685340487545810717592306,-1.80692685340487602e-01,-5.58278829381366415e-01,5.62973662276791843e-17,3.11564168309278615e-16,3.77586144040878868e-01,2.08965926500774479e+00
0.9,38,-0.12638463184071591174922374995,-1.26384631840715994e-01,-5.31311882685681969e-01,8.23507424740347286e-17,6.51588260966905945e-16,4.04927250844966058e-01,3.20392792183230624e+00
0.9,39,-0.0485162293236688703439471118951,-4.85162293236689746e-02,-4.00136357785277730e-01,1.04216188213296281e-16,2.14806858789526593e-15,3.51620128461608838e-01,7.24747436813003354e+00
0.9,40,0.0369874184218765969191271648077,3.69874184218764723e-02,-1.93213290344791289e-01,1.24589370385007740e-16,3.36842568908021045e-15,2.30200708766667872e-01,6.22375712035401918e+00
0.9,41,0.113098340875647773882006214397,1.13098340875647657e-01,4.68342791530689251e-02,1.16737607919593179e-16,1.03217789947906301e-15,6.62640617225788431e-02,5.85897734746052001e-01
0.9,42,0.165046712097951148459563106151,1.65046712097951076e-01,2.71911084687397442e-01,7.24558529925690439e-17,4.39002098688087091e-16,1.06864372589446296e-01,6.47479560368490858e-01
0.9,43,0.183161468807350147770053874788,1.83161468807350153e-01,4.38003680329232759e-01,5.12859587850878484e-18,2.80004081202420342e-17,2.54842211521882633e-01,1.39135274018754740e+00
0.9,44,0.164648508804627663332591018896,1.64648508804627725e-01,5.13716171095928043e-01,6.12006850041710906e-17,3.71705067045532627e-16,3.49067662291300373e-01,2.12007788485655180e+00
0.9,45,0.113983131727272651801292669397,1.13983131727272757e-01,4.86144519339946624e-01,1.05526247706230066e-16,9.25805828521387234e-16,3.72161387612673977e-01,3.26505669718870539e+00
0.9,46,0.0418703389620735941860711689849,4.18703389620737054e-02,3.63000183361410156e-01,1.11238344779088266e-16,2.65673380098137313e-15,3.21129844399336561e-01,7.66962609713329346e+00
