x,l,forward,backward,abs_diff_forward_backward
0.5,9,-2.67898559570312500e-01,-2.53868673280343120e-02,2.42511692242278198e-01
0.5,10,-1.88228607177734375e-01,2.90272515528292718e+00,3.09095376246066156e+00
0.5,11,6.38713836669921597e-02,2.79386207306827927e+00,2.72999068940128709e+00
0.5,12,2.33752965927123968e-01,1.66197610144177763e-02,2.17133204912706185e-01
0.5,13,1.65804266929626437e-01,-2.56296906647224088e+00,2.72877333340186734e+00
0.5,14,-5.71736395359039029e-02,-2.48686709218304891e+00,2.42969345264714498e+00
0.5,15,-2.10018500685691778e-01,-1.18670604028562263e-02,1.98151440282835545e-01
0.5,16,-1.49855135474354001e-01,2.31994168415634139e+00,2.46979681963069542e+00
0.5,17,5.22168397437780818e-02,2.26287710323678448e+00,2.21066026349300637e+00
0.5,18,1.92296222143340800e-01,8.96337088810656574e-03,1.83332851255234242e-01
0.5,19,1.37767210224410491e-01,-2.13505081562274457e+00,2.27281802584715509e+00
0.5,20,-4.83583810673735293e-02,-2.09018974757587728e+00,2.04183136650850372e+00
0.5,21,-1.78413857922350816e-01,-7.04159585002833450e-03,1.71372262072322479e-01
0.5,22,-1.28198724677986320e-01,1.98829956310535527e+00,2.11649828778334159e+00
0.5,23,4.52449377842185085e-02,1.95181109906830930e+00,1.90656616128409073e+00
0.5,24,1.67159446063450845e-01,5.69461986175423280e-03,1.61464826201696610e-01
0.5,25,1.20381116869332047e-01,-1.86815792764105759e+00,1.98853904451038965e+00
0.5,26,-4.26641412083963167e-02,-1.83770740966887769e+00,1.79504326846048134e+00
0.5,27,-1.57796621504634638e-01,-4.70889768732423320e-03,1.53087723817310395e-01
0.5,28,-1.13838402812526857e-01,1.76745019195208153e+00,1.88128859476460830e+00
0.5,29,4.04796869645777518e-02,1.74152343468549642e+00,1.70104374772091860e+00
0.5,30,1.49848814900610749e-01,3.96285855372578537e-03,1.45885956346884976e-01
0.5,31,1.08258007920364357e-01,-1.68144631789278209e+00,1.78970432581314642e+00
0.5,32,-3.85995628883580022e-02,-1.65901273839962915e+00,1.62041317551127118e+00
0.5,33,-1.42992183252221045e-01,-3.38278258845242565e-03,1.39609400663768618e-01
0.5,34,-1.03425075400987970e-01,1.60688521030807663e+00,1.71031028570906463e+00
0.5,35,3.69591179783265722e-02,1.58721583896102914e+00,1.55025672098270251e+00
0.5,36,1.36997953535143657e-01,2.92166450927365236e-03,1.34076289025870016e-01
0.5,37,9.91864069408915361e-02,-1.54143593102725851e+00,1.64062233796814994e+00
0.5,38,-3.55114215925495663e-02,-1.52399865790435074e+00,1.48848723631180113e+00
0.5,39,-1.31699312694026571e-01,-2.54828077645323069e-03,1.29151031917573350e-01
0.5,40,-9.54294352326154061e-02,1.48338226418999475e+00,1.57881169942261024e+00
0.5,41,3.42214727034180349e-02,1.46777836416470531e+00,1.43355689146128729e+00
0.5,42,1.26971380041168563e-01,2.24117335822584390e-03,1.24730206682942713e-01
0.5,43,9.20693441443280469e-02,-1.43142887039983813e+00,1.52349821454416623e+00
0.5,44,-3.30625652611813287e-02,-1.41735287083628769e+00,1.38429030557510635e+00
0.5,45,-1.22718562143844523e-01,-1.98516565826533991e-03,1.20733396485579181e-01
0.5,46,-8.90408508867775172e-02,1.38457726413438853e+00,1.47361811502116602e+00
0.5,47,3.20139211145041153e-02,1.37179064686232488e+00,1.33977672574782081e+00
0.5,48,1.18866275929531015e-01,1.76925649258687112e-03,1.17097019436944144e-01
0.5,49,8.62927789609399393e-02,-1.34204371652043153e+00,1.42833649548137154e+00
0.5,50,-3.10590992396098525e-02,-1.33035715071796234e+00,1.29929805147835253e+00
